Data da NF;Detalhes do Documento;Categoria;Subcategoria;Valor(R$);Data do Pagamento
0026-02-01;- CLARO - AV. ITABORAÍ, 962 - CURSINO;Custeio;Internet;123,65;2026-02-13
0226-02-26;- NF 2736378 - ALELO - VALE TRANSPORTE - CURSINO;Recursos Humanos;Vale Transporte;3.636,43;2026-02-25
2026-02-01;- CLARO  - RUA TRAITUBA, 437 - CURSINO;Custeio;Internet;123,65;2026-02-13
2026-02-01;- GUIA JUDICIAL CLAUDIA CONDE  - CURSINO;Recursos Humanos;Salários;1.483,00;2026-02-25
2026-02-01;- FGTS - CONSIGNADOS - CURSINO;Recursos Humanos;GRF-FGTS;3.474,36;2026-03-04
2026-02-01;- IPTU - CORREDEIRA,205 - CURSINO;Custeio;IPTU;1.038,28;2026-02-12
2026-02-01;- FGTS - CURSINO;Recursos Humanos;GRF-FGTS;6.042,60;2026-02-04
2026-02-01;- DCTF IR SOBRE ALUGUEIS   - CURSINO;Custeio;Aluguel de Imóvel;714,60;2026-03-04
2026-02-01;- DCTF IR SALÁRIOS - CURSINO;Recursos Humanos;Imposto de Renda;1.327,71;2026-03-04
2026-02-01;- SULAMERICA - CONVENIO MÉDICO - CURSINO;Recursos Humanos;Convênio Médico;9.625,43;2026-02-05
2026-02-01;- CLARO - RUA PORANGABA,224 - CURSINO;Custeio;Internet;104,90;2026-02-24
2026-02-01;- NF28935656 - ALELO - VALE ALIMENTAÇÃO -  CURSINO;Recursos Humanos;Vale Alimentação;3.655,00;2026-02-25
2026-02-01;- NF289071 -ALELO - VALE REFEIÇÃO - CURSINO;Recursos Humanos;Vale Refeição;9.024,00;2026-02-25
2026-02-02;- NF87307 - NOVA MARQUES - CURSINO;Custeio;Infraestrutura de imóvel;716,01;2026-02-24
2026-02-03;- ENEL - RUA CORREDEIRA, 205 - CURSINO;Custeio;Energia Elétrica;575,29;2026-02-13
2026-02-03;- NF9003 - GRIMEXTUR - CURSINO;Custeio;Exame toxicológico;3.475,50;2026-02-13
2026-02-03;- SP TRANSPORTES 0094 - CURSINO;Custeio;Despesas de Viagem;550,00;2026-02-03
2026-02-04;- NF1050681 NOVALIMP - CURSINO;Custeio;Higiene e Limpeza;1.483,56;2026-02-13
2026-02-04;- NF1050731 NOVALIMP - CURSINO;Custeio;Copa e Cozinha;150,95;2026-02-13
2026-02-04;- NF5605391 PMG - CURSINO;Custeio;Gêneros alimentícios;4.441,35;2026-02-11
2026-02-04;- NF73199 POMPEGAS - CURSINO;Custeio;Gás de Cozinha;115,00;2026-02-11
2026-02-05;- ENEL - RUA TRAITUBA, 437 - CURSINO;Custeio;Energia Elétrica;530,08;2026-02-13
2026-02-06;- NF1826565 ALELO - VALE ALIMENTÇÃO - CURSINO;Recursos Humanos;Vale Alimentação;215,00;2026-02-05
2026-02-06;- NF1807716 ALELO - VALE ALIMENTAÇÃO - CURSINO;Recursos Humanos;Vale Alimentação;215,00;2026-02-05
2026-02-06;- NF1825367 ALELO - VALE REFEIÇÃO - CURSINO;Recursos Humanos;Vale Refeição;640,00;2026-02-05
2026-02-06;- SEIBREF - CURSINO;Recursos Humanos;Contribuição Assistencial;241,08;2026-02-10
2026-02-06;- ENEL - RUA PORANGABA, 224 - CURSINO;Custeio;Energia Elétrica;471,09;2026-02-20
2026-02-07;- PORTO SEGURO - SEGURO DE VIDA - CURSINO;Recursos Humanos;Seguro de Vida;238,08;2026-03-04
2026-02-09;- NF73330 - POMPEGAS - CURSINO;Custeio;Gás de Cozinha;370,00;2026-02-13
2026-02-09;- NF43165 KALUNGA - CURSINO;Custeio;Materiais para Escritório;621,30;2026-02-13
2026-02-11;- NF41386 AYUMI - CURSINO;Custeio;Higiene e Limpeza;308,45;2026-02-13
2026-02-11;- NF41385 AYUMI - CURSINO;Custeio;Gêneros alimentícios;491,27;2026-02-13
2026-02-11;- NF9349 CHAVEIRO NILO - CURSINO;Terceiros;Outros;30,00;2026-02-24
2026-02-12;- NF73562 - POMPEGAS - CURSINO;Custeio;Gás de Cozinha;115,00;2026-02-13
2026-02-12;- SABESP - RUA CORREDEIRA, 205 - CURSINO;Custeio;Água e Esgoto;1.725,76;2026-02-20
2026-02-13;- NF2305 PONTO DAS CONEXOES - CURSINO;Custeio;Copa e Cozinha;2.597,86;2026-02-13
2026-02-13;- NF49 LUCINALDO - CURSINO;Custeio;Gêneros alimentícios;3.426,86;2026-02-13
2026-02-13;- NF30815 - ESPINDOLA - CURSINO;Custeio;Enxoval;620,00;2026-02-13
2026-02-13;- SP TRANSPORTES  - CURSINO;Custeio;Despesas de Viagem;347,70;2026-02-13
2026-02-18;- NF69 - JONATHAN - CURSINO;Terceiros;Outros;500,00;2026-02-20
2026-02-18;- NF32359 - WHO - CURSINO;Terceiros;Outros;633,34;2026-02-24
2026-02-18;- NF73724 POMPEGAS - CURSINO;Custeio;Gás de Cozinha;115,00;2023-01-23
2026-02-19;- NF10 FLÁVIO BOGACI - CURISNO;Terceiros;Outros;4.000,00;2026-02-23
2026-02-20;- NF 01 DALTHON ;Terceiros;Outros;4.250,00;2026-02-13
2026-02-20;- NF15289 - QUALY - CURSINO ;Terceiros;Outros;400,00;2026-03-02
2026-02-20;- NF1514 - PORTO MARIA - CURSINO;Custeio;Gêneros alimentícios;2.833,32;2026-02-24
2026-02-23;- ENEL - AV. ITABORAÍ, 962 - CURISNO;Custeio;Energia Elétrica;558,34;2026-02-20
2026-02-23;- NF304 - HOUSE FACILITIES - CURSINO;Terceiros;Outros;1.500,00;2026-02-24
2026-02-23;- NF303 - HOUSE FACILITIES - CURSINO;Terceiros;Outros;4.536,00;2026-02-24
2026-02-24;- ALUGUEL - RUA PORANGABA,224 - CURSINO;Custeio;Aluguel de Imóvel;7.637,63;2026-02-24
2026-02-24;- ALUGUEL - AV. ITABORAÍ, 962 - CURSINO;Custeio;Aluguel de Imóvel;11.057,96;2026-02-24
2026-02-24;- CLARO - RUA CORREDEIRA, 205 - CURSINO;Custeio;Internet;104,66;2026-02-24
2026-02-24;- NF1898225 - HORTMIX -  CURSINO;Custeio;Gêneros alimentícios;534,00;2026-02-23
2026-02-25;- NF17839 - BUSSOLA - CURSINO;Terceiros;Outros;241,33;2026-02-25
2026-02-25;- NF17072  - CONFISTEC - CURSINO;Terceiros;Assessoria Contábil;2.576,76;2026-02-27
2026-02-25;- SP TRANPORTES 7996  - CURSINO;Custeio;Despesas de Viagem;300,00;2026-02-25
2026-02-25;- NF2177119 - NIAZI - CURSINO;Custeio;Copa e Cozinha;1.361,70;2026-02-25
2026-02-25;- NF126904 - ARMARINHOS FERNANDO - CURSINO;Custeio;Copa e Cozinha;515,52;2026-02-25
2026-02-25;- NF126894 - ARMARINHOS FERNANDO -CURSINO;Custeio;Materiais para Escritório;165,28;2026-02-25
2026-02-25;- ALUGUEL - RUA TRAITUBA, 437 - CURSINO;Custeio;Aluguel de Imóvel;6.249,31;2026-02-25
2026-02-25;- ALUGUEL - RUA CORREDEIRA, 205 - CURSINO;Custeio;Aluguel de Imóvel;7.374,58;2026-02-24
2026-02-26;- NF88177 - NOVA MARQUES - CURSINO;Custeio;Infraestrutura de imóvel;1.088,56;2026-03-04
2026-02-26;- SABESP - RUA PORANGABA,224 - CURSINO;Custeio;Água e Esgoto;1.075,49;2026-02-26
2026-02-27;- SALARIO - CURSINO - MARIA ANGELICA;Recursos Humanos;Salários;1.080,20;2026-02-27
2026-02-27;- SALÁRIO - CURSINO - RODRIGO;Recursos Humanos;Salários;2.403,08;2026-02-27
2026-02-27;- SALÁRIO - CURSINO - SAMUEL;Recursos Humanos;Salários;2.650,01;2026-02-27
2026-02-27;- SALÁRIO - CURSINO - MATEUS;Recursos Humanos;Salários;5.341,94;2026-02-27
2026-02-27;- SALÁRIO - CURSINO - LEANDRO;Recursos Humanos;Salários;2.797,22;2026-02-27
2026-02-27;- SALÁRIO - CURSINO - GUILHERME;Recursos Humanos;Salários;2.652,80;2026-02-27
2026-02-27;- SALÁRIO - CURSINO - JHONATA;Recursos Humanos;Salários;3.356,80;2026-02-27
2026-02-27;- SALÁRIO - CURSINO - GABRIELA;Recursos Humanos;Salários;4.265,46;2026-02-27
2026-02-27;- SALÁRIO - CURSINO - ELISABETH;Recursos Humanos;Salários;4.826,67;2026-02-27
2026-02-27;- SALÁRIO - CURSINO - EDVANIA;Recursos Humanos;Salários;2.362,36;2026-02-27
2026-02-27;- SALÁRIO - CURSINO - DAYANE;Recursos Humanos;Salários;3.134,35;2026-02-27
2026-02-27;- SALARIO - CURSINO - AMANDA;Recursos Humanos;Salários;3.356,80;2026-02-27
2026-02-27;- SALÁRIO - CURISNO - ADRIANO;Recursos Humanos;Salários;4.584,12;2026-01-21
2026-02-27;- SALARIO - CURSINO - ADNA;Recursos Humanos;Salários;2.559,91;2026-02-27
