Data da NF;Detalhes do Documento;Categoria;Subcategoria;Valor(R$);Data do Pagamento
0026-02-01;-  NF 2878371 ALELO - VALE REFEIÇÃO - VILA MARIANA ;Recursos Humanos;Vale Refeição;11.456,00;2026-02-25
0026-02-01;- NF 2894250 ALELO - VALE ALIMENTAÇÃO - VILA MARIANA ;Recursos Humanos;Vale Alimentação;4.300,00;2026-02-25
2026-01-01;- IPTU - RUA AFONSO CELSO, 1674 -VILA MARIANA;Custeio;IPTU;928,87;2026-02-13
2026-01-08;- NF 86599 NOVA MARQUES - VILA MARIANA     ;Custeio;Infraestrutura de imóvel;174,30;2026-02-10
2026-01-21;- SUL AMÉRICA - CONVENIO MEDICO - VILA MARIANA;Recursos Humanos;Convênio Médico;13.940,93;2026-02-05
2026-01-23;-  IPTU - RUA AFONSO CELSO, 1185 - VILA MARIANA;Custeio;IPTU;5.280,07;2026-02-10
2026-01-23;-  IPTU RUA LUIS GOIS,325 - VILA MARIANA;Custeio;IPTU;998,33;2026-02-09
2026-02-01;- CLARO - RUA LUIS GOIS,656 - VILA MARIANA;Custeio;Internet;100,51;2026-02-24
2026-02-01;- CLARO - RUA AFONSO CELSO,1674  121,54    VILA MARIANA;Custeio;Internet;121,54;2026-02-24
2026-02-01;- CLARO - RUA AFONSO CELSO,1185 -  VILA MARIANA;Custeio;Internet;142,96;2026-02-24
2026-02-01;- VIVO EMPRESAS - RUA AFONSO CELSO,1185 - VILA MARIANA;Custeio;Internet;163,17;2026-02-13
2026-02-01;- PORTO SEGURO - SEGURO INCÊNDIO - RUA LUIS GOIS,656 - VILA MARIANA ;Custeio;Seguro Fiança;199,93;2026-02-20
2026-02-01;-  VIVO EMPRESAS - RUA LUIS GOIS,325 - VILA MARIANA      VILA MARIANA;Custeio;Internet;163,17;2026-02-09
2026-02-01;- FGTS - VILA MARIANA ;Recursos Humanos;GRF-FGTS;6.751,47;2026-03-04
2026-02-01;-  FGTS CONSIGNADOS  - VILA MARIANA;Recursos Humanos;GRF-FGTS;2.178,97;2026-03-04
2026-02-01;-  DCTF  - INSS   - VILA MARIANA ;Recursos Humanos;GPS-INSS;8.185,90;2026-03-04
2026-02-01;-  DCTF - IR SOBRE FOLHA - VILA MARIANA ;Recursos Humanos;Imposto de Renda;1.824,13;2026-03-04
2026-02-01;- DCTF - IR ALUGUÉIS - VILA MARIANA ;Recursos Humanos;Imposto de Renda;1.049,35;2026-03-04
2026-02-02;-  COMGAS - RUA LUIS GOIS,656 - VILA MARIANA;Custeio;Gás de Cozinha;329,05;2026-02-11
2026-02-02;- NF 87306 NOVA MARQUES - VILA MARIANA;Custeio;Infraestrutura de imóvel;430,20;2026-02-06
2026-02-04;- SP TRANS 9782 - 500,00 - VILA MARIANA ;Custeio;Despesas de Viagem;500,00;2026-02-04
2026-02-05;-  ENEL - RUA LUIS GOIS,325 -  VILA MARIANA;Custeio;Energia Elétrica;212,33;2026-02-13
2026-02-05;- ENEL - RUA AFONSO CELSO,1674 - VILA MARIANA;Custeio;Energia Elétrica;403,42;2026-02-13
2026-02-06;- SEIBREF - VILA MARIANA ;Recursos Humanos;Contribuição Assistencial;241,08;2026-02-10
2026-02-06;- UBER 9006/4155 - VILA MARIANA;Custeio;Despesas de Viagem;500,00;2026-03-03
2026-02-06;- NF 1829018 ALELO VALE ALIMENTAÇÃO - VILA MARIANA;Recursos Humanos;Vale Alimentação;430,00;2026-02-05
2026-02-06;- NF 1810001 ALELO VALE REFEIÇÃO - VILA MARIANA    ;Recursos Humanos;Vale Refeição;1.120,00;2026-02-06
2026-02-07;- PORTO SEGURO - SEGURO DE VIDA - VILA MARIANA ;Recursos Humanos;Seguro de Vida;282,72;2026-02-24
2026-02-09;-  NF73374 POMPEGAS - VILA MARIANA;Custeio;Gás de Cozinha;115,00;2026-02-13
2026-02-09;- NF 9031 GRIMEXTUR - VILA MARIANA;Custeio;Exame toxicológico;1.890,00;2026-02-13
2026-02-11;- NF 73491 POMPEGAS - VILA MARIANA      ;Custeio;Gás de Cozinha;115,00;2026-02-13
2026-02-12;- SABESP - RUA LUIS GOIS,656 - VILA MARIANA;Custeio;Água e Esgoto;735,50;2026-02-20
2026-02-12;- SABESP - RUA LUIS GOIS,325  - VILA MARIANA;Custeio;Água e Esgoto;2.512,82;2026-02-20
2026-02-12;- SABESP - RUA AFONSO CELSO,1674 -  VILA MARIANA;Custeio;Água e Esgoto;1.043,84;2026-02-20
2026-02-12;-  SABESP - RUA AFONSO CELSO, 1185 -  VILA MARIANA;Custeio;Água e Esgoto;735,50;2026-02-20
2026-02-12;- NF 5620910 PMG - VILA MARIANA;Custeio;Gêneros alimentícios;2.278,73;2026-02-19
2026-02-13;- NF 50 LUCINALDO - VILA MARIANA;Custeio;Gêneros alimentícios;4.598,96;2026-02-20
2026-02-13;-  RECIBO 69727 ALCATONER - VILA MARIANA ;Terceiros;Outros;874,49;2026-02-23
2026-02-13;- NF 769 KAROL PADARIA - VILA MARIANA;Custeio;Gêneros alimentícios;2.432,70;2026-02-24
2026-02-16;-  NF 2424097 ALELO - VALE TRANSPORTE - VILA MARIANA ;Recursos Humanos;Vale Transporte;461,12;2026-03-04
2026-02-18;- NF 69 JONATHAN MORAIS - VILA MARIANA ;Terceiros;Outros;500,00;2026-02-23
2026-02-18;-  NF 32359 WHO MEDICINA - VILA MARIANA ;Terceiros;Outros;633,33;2026-02-24
2026-02-18;- NF 1845 MICROPRAGAS - VILA MARIANA;Terceiros;Outros;1.950,00;2026-02-24
2026-02-19;-  NF 73781 POMPEGAS - VIL MARIANA;Custeio;Gás de Cozinha;115,00;2026-02-24
2026-02-19;-  NF 73780 POMPEGAS -  VILA MARIANA;Custeio;Gás de Cozinha;115,00;2026-02-24
2026-02-19;-  NF 2400 LILO LIMP -  VILA MARIANA;Custeio;Higiene e Limpeza;396,47;2026-02-24
2026-02-19;- NF 2399 LILO LIMP - VILA MARIANA;Custeio;Higiene e Limpeza;464,96;2026-02-24
2026-02-20;-  NF 39 RAFAEL - VILA MARIANA;Terceiros;Outros;4.000,00;2026-02-23
2026-02-20;-  NF 298 HOUSE FACILITIES - VILA MARIANA;Terceiros;Outros;650,00;2026-02-20
2026-02-20;- ENEL RUA AFONSO CELSO, 1185 - VILA MARIANA ;Custeio;Energia Elétrica;1.125,97;2026-02-27
2026-02-23;- NF 301 HOUSE - VILA MARIANA;Terceiros;Outros;4.944,86;2026-02-24
2026-02-23;-  NF 304 HOUSE FACILITIES  - VILA MARIANA;Terceiros;Outros;1.500,00;2026-02-24
2026-02-24;- ALUGUEL - RUA AFONSO CELSO,1674 - VILA MARIANA;Custeio;Aluguel de Imóvel;2.361,87;2026-02-24
2026-02-24;-  ALUGUEL - RUA AFONSO CELSO,1185 - VILA MARIANA;Custeio;Aluguel de Imóvel;3.182,61;2026-02-24
2026-02-24;- ALUGUEL - RUA AFONSO CELSO,1185 - VILA MARIANA ;Custeio;Aluguel de Imóvel;3.182,61;2026-02-24
2026-02-24;-  ALUGUEL - RUA AFONSO CELSO,1185 - VILA MARIANA ;Custeio;Aluguel de Imóvel;3.182,61;2026-02-24
2026-02-24;- ALUGUEL - RUA AFONSO CELSO,1185 - VILA MARIANA ;Custeio;Aluguel de Imóvel;3.182,61;0026-02-24
2026-02-24;- NF 5639757 PMG  - VILA MARIANA ;Custeio;Gêneros alimentícios;999,60;2026-02-27
2026-02-24;- ALUGUEL - RUA AFONSO CELSO,1674  - VILA MARIANA ;Custeio;Aluguel de Imóvel;2.361,87;2026-02-24
2026-02-24;- ALUGUEL - RUA AFONSO CELSO,1674  - VILA MARIANA ;Custeio;Aluguel de Imóvel;2.361,87;2026-02-24
2026-02-24;-  ALUGUEL - RUA LUIS GOIS,325 -  VILA MARIANA ;Custeio;Aluguel de Imóvel;5.422,48;2026-02-24
2026-02-24;-  NF 41575 AYUMI - VILA MARIANA ;Custeio;Gêneros alimentícios;974,14;2026-02-26
2026-02-24;-  NF 2401 LILO LIMP - VILA MARIANA;Custeio;Higiene e Limpeza;506,28;2026-02-19
2026-02-25;- NF 17072 CONFISTEC  - VILA MARIANA ;Terceiros;Outros;2.576,76;2026-02-27
2026-02-25;- NF 17839 - BUSSOLA TECNOLOGIA - VILA MARIANA ;Terceiros;Outros;241,33;2026-02-25
2026-02-26;- ENEL - RUA LUIS GOIS, 656  - VILA MARIANA;Custeio;Energia Elétrica;534,79;2026-02-27
2026-02-26;- PREVENT SENIOR  JOSÉ VICENTE - VILA MARIANA ;Recursos Humanos;Convênio Médico;905,92;2026-02-26
2026-02-26;-  NF 2736376 ALELO - VALE TRANSPORTE - VILA MARIANA ;Recursos Humanos;Vale Transporte;3.846,33;2026-02-25
2026-02-27;- SALÁRIO - VILA MARIANA - WALQUIRIA ;Recursos Humanos;Salários;4.594,11;2026-02-27
2026-02-27;- SALÁRO - VILA MARIANA - VIVIAN ;Recursos Humanos;Salários;4.265,46;2026-02-27
2026-02-27;- SALÁRIO - VILA MARIANA - RHUSLEN ;Recursos Humanos;Salários;3.134,35;2026-02-27
2026-02-27;- SALÁRIO - VILA MARIANA - MAICON ;Recursos Humanos;Salários;1.220,17;2026-02-27
2026-02-27;- SALÁRIO - VILA MARIANA - LUIS ;Recursos Humanos;Salários;2.734,71;2026-02-27
2026-02-27;- SALÁRIO - VILA MARIANA - DANILLO;Recursos Humanos;Salários;3.454,79;2026-02-27
2026-02-27;- SALÁRIO - VILA MARIANA - RAFAEL ;Recursos Humanos;Salários;3.391,21;2026-02-27
2026-02-27;- SALÁRIO - VILA MARIANA - TALITA ;Recursos Humanos;Salários;3.356,80;2026-02-27
2026-02-27;- SALÁRIO - VILA MARIANA - JORGE ;Recursos Humanos;Salários;2.551,46;2026-02-27
2026-02-27;- SALÁRIO - VILA MARIANA - GUIOMAR ;Recursos Humanos;Salários;4.566,90;2026-02-27
2026-02-27;- SALÁRIO - VILA MARIANA - DAMARIS ;Recursos Humanos;Salários;5.675,89;2026-02-27
2026-02-27;- SALÁRIO - VILA MARIANA - EDUARDO;Recursos Humanos;Salários;3.234,19;2026-02-27
2026-02-27;- SALÁRIO - VILA MARIANA - ANA CAROLINA ;Recursos Humanos;Salários;4.922,82;2026-02-27
2026-02-27;- SALÁRIO - VILA MARIANA - CLAUDIA SUELI;Recursos Humanos;Salários;2.616,19;2026-02-27
2026-02-27;- SALÁRIO - VILA MARIANA - CLAUDIA CARDOSO;Recursos Humanos;Salários;3.356,80;2026-02-27
2026-02-27;- SALÁRIO - VILA MARIANA - AUGUSTO ;Recursos Humanos;Salários;3.134,35;2026-02-27
2026-02-27;- SALÁRIO - VILA MARIANA - ADELANDIA;Recursos Humanos;Salários;4.265,46;2026-02-27
2026-02-27;- SALÁRIO - VILA MARIANA - ARLETE;Recursos Humanos;Salários;3.922,31;2026-02-27
2026-02-27;- SALÁRIO - VILA MARIANA - ALEXANDRE ;Recursos Humanos;Salários;3.151,57;2026-02-27
2026-03-04;- ALUGUEL - RUA LUIS GOIS,656 - VILA MARIANA ;Custeio;Aluguel de Imóvel;7.588,68;2026-02-24
2026-12-08;-  PORTO SEGURO FIANÇA - VILA MARIANA;Custeio;Seguro Fiança;1.726,03;2026-02-11
