Data da NF;Detalhes do Documento;Categoria;Subcategoria;Valor(R$);Data do Pagamento
2026-02-02;UNIODONTO - NF 2095796;Recursos Humanos;Plano Odontológico;66,60;2026-03-02
2026-02-03;CHAVEIRO DO LE - NF 11.269;Custeio;Infraestrutura de imóvel;195,00;2026-02-10
2026-02-03;CAROLINE AZEVEDO - NF 074;Terceiros;Outros;200,00;2026-02-04
2026-02-04;CONSORCIO123 FEV - NF 1159248 ;Recursos Humanos;Vale Transporte;252,00;2026-02-02
2026-02-06;CLARO;Custeio;Internet;148,00;2026-02-25
2026-02-07;SHIBATA - NF 255.641;Custeio;Gêneros alimentícios;501,97;2026-03-03
2026-02-07;SHIBATA - NF 255.642;Custeio;Copa e Cozinha;70,44;2026-03-03
2026-02-10;ENCANTO DO VALE -NF 39.663;Custeio;Higiene e Limpeza;281,90;2026-03-02
2026-02-11;RRM SERVIÇOS - NF 019;Terceiros;Outros;2.500,00;2026-03-03
2026-02-11;RRM SERVIÇOS - NF 013;Terceiros;Outros;1.000,00;2026-03-03
2026-02-12;SHIBATA - NF 256.176;Custeio;Gêneros alimentícios;19,57;2026-03-03
2026-02-17;CLARO ESPLANADA;Custeio;Internet;98,80;2026-03-03
2026-02-18;SABESP;Custeio;Água e Esgoto;144,82;2026-03-03
2026-02-19;SHIBATA - NF 256.858;Custeio;Gêneros alimentícios;61,90;2026-03-03
2026-02-23;EDP;Custeio;Energia Elétrica;251,77;2026-03-03
2026-02-24;HIDROGAS - NF 37.641;Custeio;Infraestrutura de imóvel;379,15;2026-03-03
2026-02-25;RENATA ELISABETE  - NF 021;Terceiros;Outros;750,00;2026-03-02
2026-02-25;ALUGUEL ESPLANADA;Custeio;Aluguel de Imóvel;5.480,41;2026-03-03
2026-02-27;MERCADINHO MANTO AZUL - NF 309;Custeio;Gêneros alimentícios;60,00;2026-03-02
2026-02-27;HOLERITE PATRICIA;Recursos Humanos;Salários;1.418,00;2026-02-27
2026-02-27;IR ALUGUEL;Custeio;Imposto de Renda s/ Aluguel;158,44;2026-03-03
2026-02-27;CAJU - NF 06750154;Recursos Humanos;Vale Alimentação;1.000,00;2026-02-27
2026-02-27;CONSORCIO 123 - NF 1164234;Recursos Humanos;Vale Transporte;289,80;2026-02-27
2026-02-28;PROVISÃO FEV;Recursos Humanos;Provisão RH;2.481,07;2026-03-06
2026-02-28;INSS;Recursos Humanos;GPS-INSS;2.326,36;2026-03-04
2026-02-28;HOLERITE EDUARDO ;Recursos Humanos;Salários;2.664,00;2026-02-27
