Data da NF;Detalhes do Documento;Categoria;Subcategoria;Valor(R$)
2022-10-31;GPS - OUT;Recursos Humanos;GPS-INSS;143,00
2022-11-30;GPS - NOV;Recursos Humanos;GPS-INSS;158,00
2022-12-31;GPS DEZ;Recursos Humanos;GPS-INSS;158,00
2022-12-31;GPS 13;Recursos Humanos;GPS-INSS;57,50
2023-06-04;NF 167198;Custeio;Higiene e Limpeza;190,80
2023-06-05;NF 265;Custeio;Aquisição e manutenção do sistema de vagas;1.430,00
2023-06-07;NF 39441;Custeio;Higiene e Limpeza;523,65
2023-06-09;NF 168431;Custeio;Gêneros alimentícios;654,53
2023-06-09;NF 167646;Custeio;Higiene e Limpeza;337,49
2023-06-09;NF 167646;Custeio;Copa e Cozinha;11,67
2023-06-09;NF 167645;Custeio;Gêneros alimentícios;1.032,26
2023-06-12;NF 167939;Custeio;Gêneros alimentícios;452,97
2023-06-12;NF 167941;Custeio;Higiene e Limpeza;33,98
2023-06-12;NF 167940;Custeio;Gêneros alimentícios;375,83
2023-06-17;NF 1145705;Custeio;Internet;54,99
2023-06-17;NF 168320;Custeio;Gêneros alimentícios;174,37
2023-06-19;2905;Custeio;Água e Esgoto;581,22
2023-06-19;NF 168430;Custeio;Gêneros alimentícios;643,83
2023-06-20;NFS 2100;Custeio;Materiais para Escritório;455,00
2023-06-20;CUPOM 19412;Custeio;Materiais para Escritório;32,80
2023-06-20;CUPOM 015450;Custeio;Infraestrutura de imóvel;30,70
2023-06-22;NF 140980704;Custeio;Energia Elétrica;67,23
2023-06-22;NF 140893762;Custeio;Energia Elétrica;85,46
2023-06-22;NF 140957704;Custeio;Energia Elétrica;34,05
2023-06-22;NF 168772;Custeio;Gêneros alimentícios;323,19
2023-06-22;ALUGUEL ADM;Custeio;Aluguel de Imóvel;509,10
2023-06-22;NF 140893763;Custeio;Energia Elétrica;38,00
2023-06-22;NF 168770;Custeio;Gêneros alimentícios;1.527,29
2023-06-23;CUPOM 751;Custeio;Infraestrutura de imóvel;55,89
2023-06-23;CUPOM 203713;Custeio;Infraestrutura de imóvel;82,40
2023-06-23;NF 168911;Custeio;Copa e Cozinha;95,54
2023-06-23;NF 168912;Custeio;Infraestrutura de imóvel;22,90
2023-06-23;NF 141052171;Custeio;Energia Elétrica;334,11
2023-06-25;NF 168977;Custeio;Gêneros alimentícios;106,06
2023-06-26;NF 169051;Custeio;Gêneros alimentícios;681,64
2023-06-27;NF 2871;Custeio;Infraestrutura de imóvel;80,00
2023-06-30;IPTU SANTA SOFIA;Custeio;Aluguel de Imóvel;129,26
2023-06-30;HOLERITE ROSALIA;Recursos Humanos;Salários;2.871,00
2023-06-30;ALUGUEL SANTA SOFIA;Custeio;Aluguel de Imóvel;3.982,33
2023-06-30;FGTS;Recursos Humanos;GRF-FGTS;256,00
2023-06-30;SEGURO SANTA SOFIA;Custeio;Infraestrutura de imóvel;268,98
2023-06-30;IR ALUGUEL REP 1;Custeio;Aluguel de Imóvel;217,67
2023-06-30;GPS-INSS;Recursos Humanos;GPS-INSS;1.177,05
2023-06-30;ALUGUEL REP 2;Custeio;Aluguel de Imóvel;3.736,13
2023-06-30;DARF - PIS;Recursos Humanos;PIS;32,00
2023-06-30;IR ALUGUEL LUZIA ;Custeio;Aluguel de Imóvel;263,87
2023-06-30;NF 187;Custeio;Gêneros alimentícios;144,00
2023-06-30;NF 188;Custeio;Gás de Cozinha;110,00
2023-06-30;NF 67;Terceiros;Assessoria Contábil;2.000,00
2023-06-30;PROVISIONAMENTO JUNHO;Recursos Humanos;Provisão RH;6.386,26
2023-06-30;NF 97;Terceiros;Outros;1.250,00
2023-06-30;NF 66;Terceiros;Outros;4.000,00
