Data da NF;Detalhes do Documento;Categoria;Subcategoria;Valor(R$);Data do Pagamento
2026-01-07;311005/A;Terceiros;Outros;1.133,23;2026-02-12
2026-01-12;8897;Custeio;Exame toxicológico;1.174,67;2026-02-12
2026-01-13;ENEL;Custeio;Energia Elétrica;528,85;2026-02-12
2026-01-13;ENEL;Custeio;Energia Elétrica;327,20;2026-02-12
2026-01-14;ENEL;Custeio;Energia Elétrica;647,91;2026-02-12
2026-01-26;ALUGUEL;Custeio;Aluguel de Imóvel;9.132,75;2026-02-12
2026-01-26;ALUGUEL;Custeio;Aluguel de Imóvel;10.783,25;2026-02-12
2026-01-26;ALUGUEL;Custeio;Aluguel de Imóvel;12.103,65;2026-02-12
2026-01-29;2067;Custeio;Locação de Impressoras;666,66;2026-02-12
2026-01-30;INTELBRAS;Custeio;Internet;10,36;2026-02-20
2026-01-30;INTELBRAS;Custeio;Internet;41,62;2026-02-20
2026-01-30;INTELBRAS;Custeio;Internet;78,14;2026-02-20
2026-02-01;27658;Custeio;Telefone móvel e fixo;48,27;2026-03-02
2026-02-03;080269;Custeio;Gêneros alimentícios;420,00;2026-02-03
2026-02-03;21;Custeio;Gêneros alimentícios;724,77;2026-02-10
2026-02-03;624;Custeio;Gás de Cozinha;420,20;2026-02-03
2026-02-04;4602;Custeio;Higiene e Limpeza;740,60;2026-03-02
2026-02-06;446;Custeio;Higiene e Limpeza;141,60;2026-02-06
2026-02-08;VIVO;Custeio;Telefone móvel e fixo;199,98;2026-02-27
2026-02-09;19;Custeio;Gêneros alimentícios;164,67;2026-02-10
2026-02-10;116018;Custeio;Combustível;295,71;2026-02-10
2026-02-10;35719;Custeio;Gêneros alimentícios;633,92;2026-02-10
2026-02-10;35720;Custeio;Higiene e Limpeza;161,52;2026-02-10
2026-02-10;559831;Custeio;Gêneros alimentícios;3.329,53;2026-02-10
2026-02-10;2887199;Custeio;Gêneros alimentícios;2.268,64;2026-02-10
2026-02-11;ENEL;Custeio;Energia Elétrica;1.518,41;2026-03-02
2026-02-11;ENEL;Custeio;Energia Elétrica;445,37;2026-03-02
2026-02-11;ENEL;Custeio;Energia Elétrica;384,61;2026-03-02
2026-02-11;ENEL;Custeio;Energia Elétrica;273,17;2026-03-02
2026-02-12;17464;Custeio;Combustível;216,00;2026-02-12
2026-02-12;VT JESSICA;Recursos Humanos;Vale Transporte;148,40;2026-02-12
2026-02-12;VT FILIPE;Recursos Humanos;Vale Transporte;148,40;2026-02-12
2026-02-12;VT ERICK;Recursos Humanos;Vale Transporte;272,47;2026-02-12
2026-02-12;VT CAROLINI;Recursos Humanos;Vale Transporte;84,80;2026-02-12
2026-02-12;VT CARLOS;Recursos Humanos;Vale Transporte;243,80;2026-02-12
2026-02-12;VT CAIO;Recursos Humanos;Vale Transporte;148,40;2026-02-12
2026-02-12;VT JEFFERSON;Recursos Humanos;Vale Transporte;243,80;2026-02-12
2026-02-12;VT ANNA KAROLINA;Recursos Humanos;Vale Transporte;243,20;2026-02-12
2026-02-12;VT JOANA;Recursos Humanos;Vale Transporte;201,40;2026-02-12
2026-02-12;VT ALINE;Recursos Humanos;Vale Transporte;128,00;2026-02-12
2026-02-12;VT LUCIANO;Recursos Humanos;Vale Transporte;148,40;2026-02-12
2026-02-12;VT LUIZ;Recursos Humanos;Vale Transporte;243,20;2026-02-12
