Data da NF;Detalhes do Documento;Categoria;Subcategoria;Valor(R$);Data do Pagamento
0026-02-02;973;Custeio;Combustível;200,00;2026-03-05
2026-02-02;975;Custeio;Combustível;2.115,34;2026-02-05
2026-02-02;974;Custeio;Combustível;100,02;2026-03-05
2026-02-10;38433;Custeio;Gêneros alimentícios;1.985,57;2026-03-07
2026-02-11;38 - Daniel - contador;Terceiros;Assessoria Contábil;1.662,00;2026-03-07
2026-02-11;20385263;Custeio;Energia Elétrica;162,74;2026-03-05
2026-02-13;20651114;Custeio;Energia Elétrica;489,03;2026-03-05
2026-02-16;200;Custeio;Higiene e Limpeza;527,01;2026-03-05
2026-02-16;199;Custeio;Gêneros alimentícios;159,57;2026-03-05
2026-02-20;477943;Custeio;Internet;87,38;2026-03-05
2026-02-21;55 - MIRELLE - SITE DA CT;Terceiros;Outros;200,00;2026-02-22
2026-02-23;00813485;Custeio;Infraestrutura de imóvel;150,00;2026-03-05
2026-02-25;cas202602;Recursos Humanos;Contribuição Assistencial;288,19;2026-03-05
2026-02-27;HOLERITE - PSICOLOGA;Recursos Humanos;Salários;2.619,64;2026-03-03
2026-02-27;HOLERITE - COORDENADORA;Recursos Humanos;Salários;2.452,23;2026-03-03
2026-02-27;HOLERITE - ADMINISTRATIVO;Recursos Humanos;Salários;2.338,78;2026-03-03
2026-02-27;HOLERITE - EDUCADOR SOCIAL;Recursos Humanos;Salários;2.368,79;2026-03-03
2026-02-27;HOLERITE - ASSISTENTE SOCIAL;Recursos Humanos;Salários;4.421,25;2026-03-03
2026-02-27;PIS;Recursos Humanos;PIS;158,72;2026-03-05
2026-02-27;INSS;Recursos Humanos;GPS-INSS;1.383,70;2026-03-05
2026-02-27;FGTS;Recursos Humanos;GRF-FGTS;1.269,80;2026-03-05
2026-02-27;RPA - NUTRICIONISTA;Terceiros;Outros;280,00;2026-03-06
2026-02-27;2 - COZINHEIRA;Terceiros;Outros;1.913,00;0026-03-03
2026-02-27;recibo;Custeio;Aluguel de Imóvel;1.650,00;2026-03-04
2026-02-28;PROVISÃO;Recursos Humanos;Provisão RH;2.526,90;2026-03-07
2026-02-28;22833;Custeio;Higiene e Limpeza;318,34;2026-03-05
2026-03-02;22179682;Recursos Humanos;Bem estar social;172,00;2026-03-05
