Data da NF;Detalhes do Documento;Categoria;Subcategoria;Valor(R$);Data do Pagamento
2026-01-07;Agape distribuidora ;Custeio;Gêneros alimentícios;6.068,16;2026-02-20
2026-01-17;Enel Silveira Rodrigues ;Custeio;Energia Elétrica;464,12;2026-02-05
2026-01-17;Enel Barbara Heliodora ;Custeio;Energia Elétrica;24,16;2026-02-05
2026-01-17;Enel Silveira Rodrigues;Custeio;Energia Elétrica;467,12;2026-02-05
2026-01-21;Sabesp Coriolano ;Custeio;Água e Esgoto;678,17;2026-02-05
2026-01-23;Atacadão ;Custeio;Higiene e Limpeza;2.822,42;2026-02-05
2026-01-28;Atacadão ;Custeio;Gêneros alimentícios;2.913,57;2026-02-05
2026-02-01;Localiza Fleet S/A ;Custeio;Locação de Veículos;3.864,00;2026-02-20
2026-02-01;99 Tecnologia ;Custeio;Locação de Veículos;3.218,06;2026-02-09
2026-02-04;Com gas cs2;Custeio;Gás de Cozinha;27,40;2026-02-11
2026-02-04;Com gas cs1;Custeio;Gás de Cozinha;420,58;2026-02-11
2026-02-05;Ruan Deivid ;Custeio;Infraestrutura de imóvel;4.000,00;2026-02-06
2026-02-05;Aluguel Barbara heliodora ;Custeio;Aluguel de Imóvel;7.761,46;2026-02-05
2026-02-05;Aluguel Coriolano ;Custeio;Aluguel de Imóvel;14.964,76;2026-02-05
2026-02-07;Agape Distribuidora ;Custeio;Gêneros alimentícios;2.688,33;2026-02-11
2026-02-09;Claro, Barbara Heliodora ;Custeio;Internet;199,44;2026-02-20
2026-02-09;Claro,  Vespasiano sede;Custeio;Internet;552,71;2026-02-20
2026-02-09;Claro, Silveira Rodrigues Un II;Custeio;Internet;201,50;2026-02-20
2026-02-11;Enel Coriolano Cs1 ;Custeio;Energia Elétrica;372,38;2026-02-20
2026-02-11;Enel Vespasiano Sede;Custeio;Energia Elétrica;321,53;2026-02-20
2026-02-11;IPTU Vespasiano Sede;Custeio;IPTU;2.202,75;2026-02-11
2026-02-11;IPTU Vespasiano Sede;Custeio;IPTU;2.002,75;2026-02-11
2026-02-11;Sabesp Vespasiano sede ;Custeio;Água e Esgoto;360,03;2026-02-23
2026-02-11;Aluguel Silveira rodrigues 242;Custeio;Aluguel de Imóvel;7.099,44;2026-02-11
2026-02-11;Enel Coriolano;Custeio;Energia Elétrica;30,34;2026-03-02
2026-02-11;Seguro Incêndio Barbara Heliodora ;Custeio;Aluguel de Imóvel;299,02;2026-02-11
2026-02-12;IRRF ;Custeio;Imposto de Renda s/ Aluguel;973,47;2026-02-13
2026-02-12;FGTS ;Custeio;Imposto de Renda s/ Aluguel;6.806,67;2026-02-13
2026-02-12;INSS;Custeio;Imposto de Renda s/ Aluguel;8.468,75;2026-02-13
2026-02-12;Ranslei dos Santos;Custeio;Infraestrutura de imóvel;2.100,00;2026-02-13
2026-02-12;Atacadão ;Custeio;Higiene e Limpeza;2.656,11;2026-02-27
