Data da NF;Detalhes do Documento;Categoria;Subcategoria;Valor(R$)
2024-05-21;GUIA;Recursos Humanos;Contribuição Assistencial;150,00
2024-05-28;nf 1661;Terceiros;Assessoria Contábil;1.412,00
2024-05-29;guia;Recursos Humanos;PIS;322,44
2024-05-29;guia;Recursos Humanos;GPS-INSS;2.888,62
2024-05-29;guia;Recursos Humanos;Imposto de Renda;656,32
2024-05-29;guia;Recursos Humanos;GRF-FGTS;2.579,48
2024-05-29;boleto;Custeio;Aluguel de Imóvel;2.619,21
2024-05-29;boleto;Custeio;Aluguel de Imóvel;3.441,16
2024-05-31;provisão;Recursos Humanos;Provisão RH;5.814,54
2024-05-31;NF 2544073;Recursos Humanos;Vale Alimentação;4.015,00
2024-05-31;GUIA;Recursos Humanos;Contribuição Assistencial;308,43
2024-05-31;holerite;Recursos Humanos;Salários;4.185,14
2024-05-31;holerite;Recursos Humanos;Salários;1.791,14
2024-05-31;holerite;Recursos Humanos;Salários;3.605,51
2024-05-31;holerite;Recursos Humanos;Salários;1.610,96
2024-05-31;holerite;Recursos Humanos;Salários;1.693,02
2024-05-31;holerite;Recursos Humanos;Salários;1.873,46
2024-05-31;holerite;Recursos Humanos;Salários;3.256,17
2024-05-31;holerite;Recursos Humanos;Salários;2.435,05
2024-05-31;holerite;Recursos Humanos;Salários;3.533,84
2024-05-31;holerite;Recursos Humanos;Salários;2.435,05
2024-05-31;holerite;Recursos Humanos;Salários;1.873,46
