Data da NF;Detalhes do Documento;Categoria;Subcategoria;Valor(R$);Data do Pagamento
2026-01-01;ALUGUEL IRMÃOS LEME - ADEBAL;Custeio;Aluguel de Imóvel;3.750,00;2026-02-03
2026-01-01;ALUGUEL IRMAOS LEME - JULIANA;Custeio;Aluguel de Imóvel;3.750,00;2026-02-03
2026-01-06;FATURA 2261 RECARTEC;Terceiros;Outros;700,00;2026-02-03
2026-01-07;NOVA FORMAR;Terceiros;Outros;172,16;2026-02-02
2026-01-08;NF 360 PAES E DOCES BETH MANIA;Custeio;Gêneros alimentícios;3.335,70;2026-02-03
2026-01-09;SABESP LUIS FERREIRA;Custeio;Água e Esgoto;1.215,16;2026-02-03
2026-01-09;SABESP FRANCISCO VIEIRA;Custeio;Água e Esgoto;1.493,69;2026-02-03
2026-01-12;ENEL FRANCISCO VIEIRA;Custeio;Energia Elétrica;203,68;2026-02-03
2026-01-16;NF 752042 CALVO;Custeio;Gêneros alimentícios;1.962,99;2026-02-03
2026-01-17;ENEL IRMAOS LEME;Custeio;Energia Elétrica;408,65;2026-02-03
2026-01-21;ENEL LUIS FERREIRA;Custeio;Energia Elétrica;379,94;2026-02-03
2026-01-22;ALUGUEL LUIS FERREIRA;Custeio;Aluguel de Imóvel;5.612,18;2026-02-02
2026-01-22;ALUGUE JOAQUIM PINTO;Custeio;Aluguel de Imóvel;2.199,03;2026-02-02
2026-01-23;NF 10097 A2 OFFICE;Terceiros;Assessoria Contábil;2.700,00;2026-02-03
2026-01-23;NF 8961 GRIMEXTUR ;Custeio;Exame toxicológico;1.944,00;2026-02-03
2026-01-31;IPTU IRMAOS LEME;Custeio;IPTU;1.148,92;2026-02-03
