Data da NF;Detalhes do Documento;Categoria;Subcategoria;Valor(R$);Data do Pagamento
2026-02-01;DESPESAS MENSAIS - COMBUSTÍVEL;Custeio;Combustível;710,02;2026-02-28
2026-02-01;DESPESAS MENSAIS - PEDÁGIOS;Custeio;Despesas de Viagem;81,60;2026-02-28
2026-02-01;DESPESAS MENSAIS - PASSAGENS;Custeio;Despesas de Viagem;1.014,45;2026-02-28
2026-02-01;DESPESAS MENSAIS - REFEIÇÕES;Custeio;Despesas de Viagem;210,00;2026-02-28
2026-02-01;DESPESAS MENSAIS - TERCEIROS;Terceiros;Outros;66,00;2026-02-09
2026-02-02;NF 33 - Pintura Espaço Prevenir;Terceiros;Outros;4.500,00;2026-02-02
2026-02-03;157/00000106 - 1 - LOCAÇÃO VEÍCULO;Custeio;Locação de Veículos;3.850,00;2026-02-03
2026-02-03;RH - Provisão 022026;Recursos Humanos;Provisão RH;6.509,48;2026-02-03
2026-02-06;NF 226907 - ACOMODAÇÃO SUELI SP (JUSTIFICATIVA);Terceiros;Outros;997,50;2026-01-26
2026-02-12;47330008001 CORRETA IMÓVEIS LTDA ;Custeio;Aluguel de Imóvel;4.765,97;2026-02-12
2026-02-12;FGTS CONSIGNADO - 0126021220631885-9;Recursos Humanos;GRF-FGTS;1.333,25;2026-02-19
2026-02-12;FGTS FOLHA - 0126021220631885-9;Recursos Humanos;GRF-FGTS;593,20;2026-02-19
2026-02-13;1378 - MATERIAL LIMPEZA PISCINA;Custeio;Higiene e Limpeza;366,84;2026-02-13
2026-02-18;79 - PRODUTOS PARA LIMPEZA CASA;Custeio;Higiene e Limpeza;1.291,00;2026-02-18
2026-02-18;4575 - RECARTEC;Terceiros;Outros;2.600,00;2026-02-19
2026-02-18;4576 - RECARTEC;Terceiros;Outros;4.500,00;2026-02-19
2026-02-18;2489 - RECARTEC;Custeio;Telefone móvel e fixo;120,00;2026-02-19
2026-02-18;2489 - RECARTEC;Custeio;Infraestrutura de imóvel;2.400,00;2026-02-19
2026-02-18;2489 - RECARTEC;Custeio;Locação de Impressoras;550,00;2026-02-19
2026-02-18;2489 - RECARTEC;Custeio;Internet;1.000,00;2026-02-19
2026-02-18;2489 - RECARTEC;Custeio;Aquisição e Manutenção de equipamentos de informática;1.400,00;2026-02-19
2026-02-18;54910 - PRODUTOS PARA LIMPEZA CASA;Custeio;Higiene e Limpeza;273,50;2026-02-18
2026-02-18;20 - PRESTAÇÃO SERVIÇOS GRÁFICOS;Terceiros;Outros;110,00;2026-02-18
2026-02-20;NF 1 AHG - MANUTENÇÃO PISO ESPAÇO;Terceiros;Outros;3.500,00;2026-02-23
2026-02-20;DARF IR0561 - 07.16.26051.9620775-4;Recursos Humanos;GPS-INSS;899,51;2026-02-20
2026-02-20;GPS - RECEITA FEDERAL 07.16.26051.9620775-4;Recursos Humanos;GPS-INSS;839,60;2026-02-20
2026-02-20;121344 - IMPERIUS;Custeio;Materiais para Escritório;237,80;2026-02-20
2026-02-25;NF 10215 A2 OFFICE - ASS CONTÁBIL;Terceiros;Assessoria Contábil;2.700,00;2026-02-25
2026-02-25;VR PARCIAL - CRISTINA (DEPÓSITO);Recursos Humanos;Vale Refeição;342,24;2026-02-24
2026-02-25;VA PARCIAL - CRISTINA (DEPÓSITO);Recursos Humanos;Vale Alimentação;73,36;2026-02-24
2026-02-25;VR PARCIAL - AMYNADAB (DEPÓSITO);Recursos Humanos;Vale Refeição;342,24;2026-02-24
2026-02-25;VA PARCIAL - AMYNADAB (DEPÓSITO);Recursos Humanos;Vale Alimentação;73,36;2026-02-24
2026-02-26;NF 3 JESSICA DANTAS - LIMPEZA ESPAÇO;Terceiros;Outros;1.200,00;2026-02-27
2026-02-27;NF 1 MB PLANEJADOS - RESTAURAÇÃO MÓVEIS ESPAÇO;Terceiros;Outros;12.500,00;2026-02-04
2026-02-27;SALÁRIO AMYNADAB;Recursos Humanos;Salários;1.291,02;2026-02-27
2026-02-27;SALÁRIO CRISTINA;Recursos Humanos;Salários;2.377,17;2026-02-27
2026-02-27;VA - PLUXEE;Recursos Humanos;Vale Alimentação;495,00;2026-02-27
2026-02-27;CPFL - ENERGIA ELÉTRICA;Custeio;Energia Elétrica;40,13;2026-02-27
2026-02-27;SALÁRIO SUELI;Recursos Humanos;Salários;4.536,24;2026-02-25
2026-02-27;VR - PLUXEE;Recursos Humanos;Vale Refeição;2.310,00;2026-02-27
