Data da NF;Detalhes do Documento;Categoria;Subcategoria;Valor(R$);Data do Pagamento
2026-01-05;PORTO SEGURO;Recursos Humanos;Plano Odontológico;67,91;2026-01-14
2026-01-06;PORTO SEGURO;Recursos Humanos;Seguro de Vida;14,93;2026-01-23
2026-01-07;NOVA FORMAR;Terceiros;Outros;64,56;2026-01-26
2026-01-09;MEGA MAX;Custeio;Higiene e Limpeza;409,93;2026-01-09
2026-01-10;RECARTEC;Custeio;Locação e Seguro de Computadores/Notebooks;350,00;2026-01-19
2026-01-12;NIAZI;Custeio;Enxoval;3.269,80;2026-01-12
2026-01-12;NIAZI;Custeio;Cama, mesa e banho;150,90;2026-01-12
2026-01-12;NIAZI;Custeio;Cama, mesa e banho;693,80;2026-01-12
2026-01-12;MINAS LTDA;Custeio;Infraestrutura de imóvel;727,70;2026-01-12
2026-01-12;DUDATEX;Custeio;Cama, mesa e banho;774,00;2026-01-12
2026-01-12;CORTINAS;Custeio;Infraestrutura de imóvel;450,00;2026-01-19
2026-01-13;RIVIERA FLORICULTURA;Custeio;Infraestrutura de imóvel;4.562,00;2026-01-14
2026-01-13;ARMARINHOS FERNANDO;Custeio;Livros, revistas e jogos educativos;384,30;2026-01-13
2026-01-13;ARMARINOS FERNANDO;Custeio;Materiais para Escritório;2.634,32;2026-01-13
2026-01-13;MIMI HOUSE;Custeio;Infraestrutura de imóvel;642,00;2026-01-13
2026-01-14;RIZZO;Custeio;Infraestrutura de imóvel;308,58;2026-01-13
2026-01-14;FGTS;Recursos Humanos;GRF-FGTS;1.305,04;2026-01-20
2026-01-14;FGTS CONSIGNADO;Recursos Humanos;GRF-FGTS;251,04;2026-01-20
2026-01-15;PLACAS;Terceiros;Outros;6.295,00;2026-01-15
2026-01-16;AKITEM;Custeio;Materiais para Escritório;62,44;2026-01-15
2026-01-16;AKITEM;Custeio;Copa e Cozinha;1.500,00;2026-01-15
2026-01-16;AKITEM;Custeio;Higiene e Limpeza;33,46;2026-01-15
2026-01-16;DESPESA MENSAL- COMBUSTIVEL;Custeio;Combustível;150,00;2026-01-29
2026-01-18;CONCEITO ART E MOVEIS;Terceiros;Outros;10.000,00;2026-01-19
2026-01-19;GPS;Recursos Humanos;GPS-INSS;2.582,21;2026-01-20
2026-01-19;CONCEITO ART E MOVEIS;Terceiros;Outros;2.350,00;2026-01-19
2026-01-20;EDMILSON LEMOS ARTESANATOS;Custeio;Cama, mesa e banho;1.610,00;2026-01-16
2026-01-21;VIVIANE CRISTINA;Terceiros;Outros;2.640,00;2026-01-23
2026-01-21;VR SERGIO;Recursos Humanos;Vale Refeição;550,05;2026-01-21
2026-01-21;VA SERGIO;Recursos Humanos;Vale Alimentação;117,90;2026-01-21
2026-01-21;LIMPEZA PESADA;Terceiros;Outros;2.500,00;2026-01-21
2026-01-23;ALUGUEL CARRO;Custeio;Locação de Veículos;1.270,00;2026-01-23
2026-01-23;A2 OFFICE;Terceiros;Assessoria Contábil;2.700,00;2026-01-26
2026-01-23;ATACADAO;Custeio;Gêneros alimentícios;250,78;2026-01-23
2026-01-23;VIVIANE CRISTINA;Terceiros;Outros;1.300,00;2026-01-23
2026-01-23;ATACADAO;Custeio;Higiene e Limpeza;150,59;2026-01-23
2026-01-27;AMANCIO DEPÓSITO;Custeio;Infraestrutura de imóvel;260,10;2026-01-27
2026-01-27;TMONTEC;Terceiros;Outros;100,00;2026-01-27
2026-01-28;KALUNGA;Custeio;Materiais para Escritório;911,00;2026-01-28
2026-01-28;ARMARINHOS FERNANDO;Custeio;Materiais para Escritório;121,80;2026-01-28
2026-01-28;ARMARINHOS FERNANDO;Custeio;Higiene e Limpeza;25,09;2026-01-28
2026-01-28;ARMARINHOS FERNANDO;Custeio;Copa e Cozinha;110,48;2026-01-28
2026-01-28;DESPESA MENSAL- COMBUSTIVEL;Custeio;Combustível;140,70;2026-01-29
2026-01-29;ATENDE SMART;Custeio;Infraestrutura de imóvel;200,00;2026-02-02
2026-01-29;VR;Recursos Humanos;Vale Refeição;3.080,00;2026-01-29
2026-01-29;ARMARINHOS FERNANDO;Custeio;Infraestrutura de imóvel;29,98;2026-01-29
2026-01-29;VA;Recursos Humanos;Vale Alimentação;660,00;2026-01-29
2026-01-30;TAMPO MESA;Terceiros;Outros;1.200,00;2026-01-21
2026-01-31;SALARIO VITORIA;Recursos Humanos;Salários;3.730,45;2026-01-30
2026-01-31;SALARIO SERGIO;Recursos Humanos;Salários;3.437,11;2026-01-30
2026-01-31;SALARIO NEIDE;Recursos Humanos;Salários;5.921,63;2026-01-30
2026-01-31;SALARIO VANESSA;Recursos Humanos;Salários;2.915,10;2026-01-30
2026-01-31;PROVISÃO;Recursos Humanos;Provisão RH;6.509,48;2026-01-30
