Data da NF;Detalhes do Documento;Categoria;Subcategoria;Valor(R$);Data do Pagamento
2026-02-01;DESPESA MENSAL-PEDAGIO;Custeio;Pedágio;13,70;2026-02-01
2026-02-01;DESPESA MENSAL-PEDAGIO;Custeio;Pedágio;13,60;2026-02-01
2026-02-01;DESPESA MENSAL-BAR E RESTAURANTE;Custeio;Refeições;33,00;2026-02-01
2026-02-01;DESPESA MENSAL-PEDAGIO;Custeio;Pedágio;12,10;2026-02-01
2026-02-02;ALUGUEL CARRO;Custeio;Locação de Veículos;3.550,00;2026-02-03
2026-02-02;DESPESA MENSAL-ALTEZA PAES E DOCES;Custeio;Refeições;32,20;2026-02-02
2026-02-02;PORTO ODONTO;Recursos Humanos;Plano Odontológico;67,91;2026-02-10
2026-02-03;DESPESA MENSAL-ALTEZA PAES E DOCES;Custeio;Refeições;35,56;2026-02-03
2026-02-03;PROVISÃO;Recursos Humanos;Provisão RH;6.509,48;2026-02-03
2026-02-04;DESPESA MENSAL-ALTEZA PAES E DOCES;Custeio;Refeições;34,40;2026-02-04
2026-02-04;PORTO SEGURO;Recursos Humanos;Seguro de Vida;4,98;2026-02-23
2026-02-05;DESPESA MENSAL-ALTEZA PAES E DOCES;Custeio;Refeições;36,07;2026-02-05
2026-02-06;DESPESA MENSAL-ALTEZA PAES E DOCES;Custeio;Refeições;28,90;2026-02-06
2026-02-07;DESPESA MENSAL-COMBUSTIVEL;Custeio;Combustível;101,58;2026-02-07
2026-02-07;DESPESA MENSAL-PEDAGIO;Custeio;Pedágio;20,55;2026-02-07
2026-02-07;DESPESA MENSAL-PEDAGIO;Custeio;Pedágio;13,60;2026-02-07
2026-02-07;DESPESA MENSAL-PEDAGIO;Custeio;Pedágio;12,10;2026-02-07
2026-02-11;VIVO;Custeio;Internet;83,85;2026-02-24
2026-02-11;DESPESA MENSAL-KAMI PAPELARIA;Custeio;Materiais para Escritório;88,90;2026-02-11
2026-02-11;ABELHA CARIMBARIA;Custeio;Materiais para Escritório;244,00;2026-02-12
2026-02-12;RATEIO FGTS;Recursos Humanos;GRF-FGTS;593,20;2026-02-19
2026-02-12;GONÇALVES/VIDRAÇARIA;Custeio;Infraestrutura de imóvel;3.050,00;2026-02-12
2026-02-13;RECARTEC/NOTEBOOKS;Custeio;Locação e Seguro de Computadores/Notebooks;700,00;2026-02-13
2026-02-13;RECARTEC/IMPRESSORA;Custeio;Locação de Impressoras;350,00;2026-02-13
2026-02-13;RECARTEC/CAMERAS/ALARMES/AR;Custeio;Infraestrutura de imóvel;3.000,00;2026-02-13
2026-02-16;VITOR OSVALDO/PISCINEIRO;Terceiros;Outros;250,00;2026-02-18
2026-02-18;RECIBO VR MISAEL;Recursos Humanos;Vale Refeição;770,00;2026-02-18
2026-02-18;RECIBO VA MISAEL;Recursos Humanos;Vale Alimentação;165,00;2026-02-18
2026-02-20;ALUGUEL IMOVEL;Custeio;Aluguel de Imóvel;5.501,88;2026-02-20
