Data da NF;Detalhes do Documento;Categoria;Subcategoria;Valor(R$);Data do Pagamento
2026-01-01;CLARO INTERNET;Custeio;Internet;105,27;2026-02-02
2026-01-02;ALUGUEL DE CARRO;Custeio;Locação de Veículos;3.300,00;2026-01-08
2026-01-05;PLANO ODONTOLÓGICO;Recursos Humanos;Plano Odontológico;67,91;2026-01-14
2026-01-06;RECARTEC ;Terceiros;Outros;2.400,00;2026-01-08
2026-01-06;CONSERVAÇÃO DE LIMPEZA;Terceiros;Outros;1.500,00;2026-01-08
2026-01-06;SEGURO DE VIDA ;Recursos Humanos;Seguro de Vida;19,91;2026-01-23
2026-01-06;RECARTEC - AR CONDICIONADO;Custeio;Infraestrutura de imóvel;1.200,00;2026-01-08
2026-01-06;RECARTEC - CAMERAS ;Custeio;Infraestrutura de imóvel;900,00;2026-01-08
2026-01-06;RECARTEC - NOT;Custeio;Locação e Seguro de Computadores/Notebooks;1.250,00;2026-01-08
2026-01-07;NOVA FORMAR ;Terceiros;Outros;107,60;2026-01-26
2026-01-07;MANUTENÇÃO JARDIM ;Terceiros;Outros;800,00;2026-01-08
2026-01-09;SABESP;Custeio;Água e Esgoto;156,96;2026-02-02
2026-01-13;ENEL;Custeio;Energia Elétrica;293,62;2026-01-27
2026-01-14;FGTS CONSIGNADO;Recursos Humanos;GRF-FGTS;390,12;2026-01-20
2026-01-14;FGTS;Recursos Humanos;GRF-FGTS;1.779,60;2026-01-20
2026-01-15;MOVEIS E DECORAÇOES RIVIERA LTDA;Custeio;Cama, mesa e banho;810,00;2026-01-16
2026-01-16;PWH ;Custeio;Higiene e Limpeza;1.713,50;2026-01-21
2026-01-16;PWH ;Custeio;Gêneros alimentícios;831,24;2026-01-21
2026-01-17;PWH ;Custeio;Materiais para Escritório;2.512,29;2026-01-21
2026-01-19;GPS;Recursos Humanos;GPS-INSS;5.160,52;2026-01-20
2026-01-19;DARF ALUGUEL ;Custeio;Imposto de Renda s/ Aluguel;224,51;2026-01-20
2026-01-21;VIVIANE CRISTINA;Terceiros;Outros;2.640,00;2026-01-23
2026-01-23;A2 OFFICE ;Terceiros;Outros;2.700,00;2026-01-27
2026-01-24;RESCISÃO ELISANGELA ;Recursos Humanos;Rescisão;4.745,00;2026-02-02
2026-01-27;TMONTEC SOLUCOES ;Terceiros;Outros;100,00;2026-01-27
2026-01-28;VALE REFEIÇÃO ;Recursos Humanos;Vale Refeição;2.310,00;2026-02-02
2026-01-28;VALE ALIMENTAÇÃO ;Recursos Humanos;Vale Alimentação;495,00;2026-02-02
2026-01-30;HOLERITE ANA CAROLINE ;Recursos Humanos;Salários;2.915,10;2026-01-30
2026-01-30;HOLERITE REINALDO ;Recursos Humanos;Salários;5.071,79;2026-01-30
2026-01-30;HOLORITE ANTONIO ;Recursos Humanos;Salários;1.018,94;2026-01-30
2026-01-30;IPTU;Custeio;IPTU;425,20;2026-01-30
2026-01-30;ALUGUEL ;Custeio;Aluguel de Imóvel;3.775,49;2026-01-30
2026-01-31;PROVISAO ;Recursos Humanos;Provisão RH;6.509,48;2026-01-30
